Time,Date,Hour,Day_of_Week,Road_Name,Vehicle_Count,Traffic_Density,Congestion_Level,Avg_Speed_kmh,Pollution_Index
2024-04-01 00:00:00,2024-04-01,0,Monday,MG Road,13,0.02,Low,56.2,36.0
2024-04-01 00:00:00,2024-04-01,0,Monday,Brigade Road,20,0.11,Low,49.3,52.9
2024-04-01 00:00:00,2024-04-01,0,Monday,Outer Ring Road,5,0.03,Low,58.3,25.1
2024-04-01 00:00:00,2024-04-01,0,Monday,Hosur Road,25,0.11,Low,52.6,58.0
2024-04-01 00:00:00,2024-04-01,0,Monday,Bannerghatta Road,12,0.13,Low,54.8,36.0
2024-04-01 00:00:00,2024-04-01,0,Monday,Old Airport Road,24,0.06,Low,53.6,69.7
2024-04-01 00:00:00,2024-04-01,0,Monday,Whitefield Road,5,0.03,Low,56.8,37.8
2024-04-01 00:00:00,2024-04-01,0,Monday,Electronic City Road,29,0.12,Low,53.2,82.1
2024-04-01 01:00:00,2024-04-01,1,Monday,MG Road,36,0.03,Low,61.5,73.5
2024-04-01 01:00:00,2024-04-01,1,Monday,Brigade Road,27,0.1,Low,49.5,50.7
2024-04-01 01:00:00,2024-04-01,1,Monday,Outer Ring Road,29,0.15,Low,54.7,58.4
2024-04-01 01:00:00,2024-04-01,1,Monday,Hosur Road,38,0.1,Low,50.6,64.6
2024-04-01 01:00:00,2024-04-01,1,Monday,Bannerghatta Road,32,0.11,Low,49.1,71.0
2024-04-01 01:00:00,2024-04-01,1,Monday,Old Airport Road,32,0.11,Low,53.0,56.4
2024-04-01 01:00:00,2024-04-01,1,Monday,Whitefield Road,46,0.05,Low,60.4,87.8
2024-04-01 01:00:00,2024-04-01,1,Monday,Electronic City Road,22,0.13,Low,51.2,40.2
2024-04-01 02:00:00,2024-04-01,2,Monday,MG Road,37,0.05,Low,56.0,86.2
2024-04-01 02:00:00,2024-04-01,2,Monday,Brigade Road,36,0.04,Low,55.1,71.3
2024-04-01 02:00:00,2024-04-01,2,Monday,Outer Ring Road,32,0.12,Low,56.8,61.6
2024-04-01 02:00:00,2024-04-01,2,Monday,Hosur Road,14,0.15,Low,51.1,34.8
2024-04-01 02:00:00,2024-04-01,2,Monday,Bannerghatta Road,2,0.13,Low,53.5,53.3
2024-04-01 02:00:00,2024-04-01,2,Monday,Old Airport Road,32,0.1,Low,52.8,85.4
2024-04-01 02:00:00,2024-04-01,2,Monday,Whitefield Road,50,0.05,Low,60.6,60.5
2024-04-01 02:00:00,2024-04-01,2,Monday,Electronic City Road,21,0.11,Low,55.9,67.5
2024-04-01 03:00:00,2024-04-01,3,Monday,MG Road,36,0.03,Low,54.8,48.9
2024-04-01 03:00:00,2024-04-01,3,Monday,Brigade Road,21,0.15,Low,51.1,41.1
2024-04-01 03:00:00,2024-04-01,3,Monday,Outer Ring Road,39,0.13,Low,53.3,57.3
2024-04-01 03:00:00,2024-04-01,3,Monday,Hosur Road,22,0.09,Low,58.8,61.6
2024-04-01 03:00:00,2024-04-01,3,Monday,Bannerghatta Road,37,0.02,Low,62.6,82.9
2024-04-01 03:00:00,2024-04-01,3,Monday,Old Airport Road,19,0.05,Low,60.8,73.1
2024-04-01 03:00:00,2024-04-01,3,Monday,Whitefield Road,3,0.12,Low,57.6,43.7
2024-04-01 03:00:00,2024-04-01,3,Monday,Electronic City Road,20,0.04,Low,62.1,42.6
2024-04-01 04:00:00,2024-04-01,4,Monday,MG Road,52,0.13,Low,56.8,98.8
2024-04-01 04:00:00,2024-04-01,4,Monday,Brigade Road,23,0.11,Low,58.4,64.4
2024-04-01 04:00:00,2024-04-01,4,Monday,Outer Ring Road,50,0.14,Low,47.8,69.0
2024-04-01 04:00:00,2024-04-01,4,Monday,Hosur Road,35,0.02,Low,56.1,56.8
2024-04-01 04:00:00,2024-04-01,4,Monday,Bannerghatta Road,1,0.11,Low,50.7,57.0
2024-04-01 04:00:00,2024-04-01,4,Monday,Old Airport Road,21,0.03,Low,56.0,56.2
2024-04-01 04:00:00,2024-04-01,4,Monday,Whitefield Road,52,0.04,Low,58.4,71.3
2024-04-01 04:00:00,2024-04-01,4,Monday,Electronic City Road,38,0.12,Low,48.7,76.8
